,osing,indonesia
1006,ukuryane riko ngerti,pastinya kamu tahu
1007,kacangan atine,penakut hatinya
1008,dywhoss penampilane,penampilan yg kumuh
1009,penyar pikiran,pikiran jadi plong
1010,pethal piring,pisah
1011,rumyatan pitik,peliharaan ayam
1012,juwyari atine,percaya diri hatinya
1013,edheng-edheng mlaku,plan-pelan jalan
1014,melid wong iku,pelit orang itu
1015,kumed wong iku,pelit sekali orang itu
1016,pesantikan keris,pegangan senjata keris
1017,getap atine,penakut hatinya
1018,candhak tangan,pegang tangan
1019,senuk iku,psk itu
1020,gebros awak,pukul pakai barang yg tdk membahayakan badan
1021,sampat lare,pukul pakai kayu anak
1022,mbongkok wit,pukul pakai kayu daun kelapa pohon
1023,suwing tali,putus tali
1024,campleng gawean,putus
1025,towok isun,puas
1026,munyer kepala,pusing kepala
1027,sangkrah bambu,ranting bambu
1028,royak wong-wong,ramai
1029,kerahang wong iku,rakus orang itu
1030,byangsong wong iku,rakus sekali orang itu
1031,bengkah kaca,retak kaca
1032,suwek klambi,robek baju
1033,njepopor wajahe,rusak wajahnya
1034,berrek sepatu,rusak sampai berair sepatu
1035,jebod barang,rusak barang
1036,lekrekan mobil,rusak parah mobil
1037,umyah isun,rumah saya
1038,byalek dinggo tamu,ruang tamu untuk tamu
1039,serang atine,saking hatinya
1040,kebabyas isun,salah jalan saya
1041,taker umah,sampai rumah
1042,pengasihan dinggo narik,santet untuk menarik
1043,sawen ijo,sawi hijau
1044,isun seneng,saya suka
1045,lamat-lamat suwara,sayup-sayup suara
1046,serwiwi pitik,sayap ayam
1047,eman barang,sayang barang
1048,welas isun,sayang  saya
1049,jangan asem,sayur asam
1050,jangan tombol,sayur nangka
1051,jangan lerobyan,sayur dari belondo
1052,keronto-ronto atine,sedih sekali hatinya
1053,sakpantaran karo kanca,sebaya dengan teman
1054,ered barang,seret barang
1055,tumyan ngopi,sering
1056,aron awak,sembuh badan
1057,semembrung bau,semerbak bau
1058,dewek isun,sendiri saya
1059,byangete lare teko,sedang
1060,pati isun teko,sering saya datang
1061,dewekan isun,sendirian saya
1062,ancik-ancikan,bersenggama
1063,unyik lambene,senyum bibirnya
1064,mugi-mugi sehat,semoga sehat
1065,bera-i karo karep,sesuai dengan keinginan
1066,gedigenan tingkahe,seperti ini tingkahnya
1067,gedigonan tingkahe,seperti itu tingkahnya
1068,serepet atine,setengah gila hatinya
1069,sopo arane,siapa namanya
1070,abede lare,sikap
1071,abed iro,sikapmu kamu
1072,kedhapen moto,silau mata
1073,garu rambute,sisir rambut
1074,garuan rambute,sedang menyisir rambut
1075,nongko londo,sirsak
1076,wis rampung,sudah selesai
1077,tembyeler barang,suka taruh barang sembarangan
1078,bongak klambi,sobek menganga baju
1079,sibrak kertas,sobek jadi dua kertas
1080,guwang sendal,sompel sendal
1081,gathak atine,sombong hatinya
1082,gemerubyas swara,suara jatuh dengan tiba2
1083,gemerosak swara,suara mengagetkan yg tiba2
1084,landhep lading,tajam pisau
1085,ondok umah,tangga rumah
1086,taping isun,tetapi saya
1087,kerahang wong iku,tamak orang itu
1088,tempeleng lare,tampar anak
1089,janjang kembang,tangkai bunga
1090,anyeng tali,tarik tali
1091,ampred barang,tarik dengan paksa barang
1092,anyeng-anyengan,tarik-tarikan
1093,mentolo isun,tega saya
1094,berak lare,teriak anak
1095,cumpune riko,ternyata kamu
1096,byarak srengenge,terang sekali matahari
1097,tanduk bola,tendang bola
1098,gemerubyas wit,tumbang pohon
1099,berak-berak lare,teriak-teriak anak
1100,jhodhogh dinggo lungguh,tempat duduk pendek ditanah untuk duduk
1101,moto walangen,terbelalak matanya
1102,ngidit lare,terbirit-birit anak
1103,terbas mangsa,terkam mangsa
1104,keloyong-loyong,tergila-gila
1105,temencog lare,terjun anak
1106,kebelandur lare,terpeleset anak
1107,kejelowok lare,terperosok anak
1108,bebres sikil,tergores kaki
1109,sowok,teluh
1110,sihir,teluh
1111,merkingking godhong,terlalu kering daun
1112,kobokan dinggo ngumbah,tempat cuci tangan untuk mencuci
1113,paran jare riko,terserah kamu
1114,cekakakan lare,terbahak-bahak anak
1115,monyek lambene,tersenyum bibirnya
1116,wes kadhung isun,terlanjur saya
1117,jebeg dinggo nggiling,tempat menggiling bumbu yang terbuat dari batu
1118,lebuh ring dalan,tempat sampah umum di jalan
1119,jodog dinggo lungguh,tempat duduk pendek
1120,protongan lare,terkejut dan salah tingkah anak
1121,kebeselek lare,tersedak anak
1122,kantru-kantru atine,termenung hatinya
1123,gemuyu lare,tertawa anak
1124,kekel lare,tertawa terpingkal-pingkal anak
1125,ngonsrong lare,terengah-engah anak
1126,keli barang,terseret barang
1127,kepeles atine,tertipu malu hatinya
1128,lebyak medekul dalan,tidak rata jalan
1129,bengok lare,tidak tahu apa-apa anak
1130,nono duwit,tidak ada uang
1131,emong isun,tidak mau saya
1132,camah rasane,tidak khas lagi rasanya
1133,rempi awak,tidak kuat badan
1134,kari isun,tinggal saya
1135,tujes maling,tikam maling
1136,ontong gedhang,tongkol pisang
1137,nggelinting isun,tiduran saya
1138,gumbleng kuping,tuli sesaat telinganya
1139,geblugh lading,tumpul pisau
1140,semprong geni,tiup api
1141,yotro isun,uang saya
1142,sawai iku,ubi kayu itu
1143,sabrang iku,ubi jalar itu
1144,kanggo riko,untuk kamu
1145,luwas klambi,usang baju
1146,cumpune riko,umpama kamu
1147,ulog iku,ular itu
1148,kerawu kangkung,urap kangkung
1149,celleng omongane,umpat ucapannya
1150,wadon iku,wanita itu
1151,byek,wah
1152,bebyek,wah
1153,korep wajahe,wajah kotor
1154,masio udan,walau hujan
1155,praenan riko,wajah kamu
1156,kang isun seneng,yang saya suka
1157,abero iki,coba ini
1158,abede lare,sikap tingkah anak
1159,abete riko,gayamu sifatmu tingkahmu kamu
1160,abot beban,berat beban
1161,aboti isun,beratkan bela sukai saya
1162,adoh umahe,jauh rumahnya
1163,adohi wong iku,di jauhi orang itu
1164,adung riko teko,kalau jika kamu datang
1165,alit lare,kecil anak
1166,aluk mangan,mendingan makan
1167,alung mangan,enakan makan
1168,ambai dalan,lalui lewati jalan
1169,ambekan dawa,nafas bernafas panjang
1170,ambekane alus,nafasnya halus
1171,amung siji,hanya cuma satu
1172,ampred tali,tarik dengan paksa tali
1173,ancik-ancikan,senggama
1174,angen-angen,angan bayang
1175,angenan isun,angan angan saya
1176,anyeng anyengan lare,tarik tarikan anak
1177,ambekno udan,walau meski walaupun meskipun hujan
1178,ambi sapa,dengan siapa
1179,amening-amenning,waspada
1180,amergo udan,karena sebab hujan
1181,ampet barang,ambil barang
1182,ancas isun,ancam saya
1183,ancik ancikan,bersenggama
1184,angel gawean iki,sukar susah sulit pekerjaan ini
1185,angger teko,acap kali setiap tiap kali datang
1186,anggone riko,andai kamu
1187,anggul anggul ae,alasan saja
1188,angur mangan,lebih baik mending makan
1189,anteni isun,nanti tunggu saya
1190,antenono isun,nantikan tunggulah saya
1191,arep nang endi,akan mau ke mana
1192,aruo iki,coba ini
1193,ati-ati,hati-hati
1194,atinisun seneng,hatiku senang
1195,atos kayu,keras alot kayu
1196,awak isun,diri saya
1197,awak riko,dirimu
1198,awak isun,diriku
1199,awan panas,siang panas
1200,awang awang biru,langit angkasa biru
1201,awean wong iku,suka memberi tidak pelit orang itu
1202,baen isun,saja saya
1203,bakal teko,akan datang
1204,balik umah,kembali rumah
1205,batin isun,batin perasaan saya
1206,blambyangan tanah,blambangan tanah
1207,bapak isun,bapak saya
1208,bangur mangan,lebih baik mending makan
1209,banguryan mangan,bagusan mendingan makan
1210,banyu mili,air mengalir
1211,bareng kanca,bersama dengan teman
1212,bebeng maling,hadang halang maling
1213,belabur banyu,air meluap
1214,beledhus baune,bau badan tak sedap
1215,bedo rasane,beda berbeda rasanya
1216,belani isun,bela belain di bela saya
1217,beloko ae,saja
1218,belog pikirane,bodoh sekali bodoh banget pikirannya
1219,belondo iku,sisa pengolahan sendiri minyak kelentik
1220,bendino teko,setiap hari datang
1221,beng isun,anak perempuan saya
1222,bengen cilik,dulu kecil
1223,bengene wis,dulunya sudah
1224,bengi adem,malam dingin
1225,bengok lare iku,tidak tahu apa apa anak itu
1226,berak banter,teriak kencang
1227,berak berak,teriak teriak
1228,berek sepatu,rusak sampai berair sepatu
1229,bik isun,bibi saya
1230,bingkak atine,menyamakan tidak membeda bedakan hatinya
1231,biso mangan,bisa makan
1232,bisane ngerti,bisanya tahu
1233,byakalan lare,pacar pacaran anak
1234,byalek umah,ruang tamu rumah
1235,bluwek klambi,usang baju
1236,boding iku,parang itu
1237,bojog nakal,monyet nakal
1238,bombong manuk,adu burung
1239,bondo akeh,harta banyak
1240,bongko pitik,mati  ayam
1241,bongkok wit,kayu daun kelapa pohon
1242,borok sikil,luka infeksi kaki
1243,boyok loro,punggung sakit
1244,bungah atine,bahagia senang hatinya
1245,bucur kepalane,kepala yang berdarah kepalanya
1246,buru teko,baru datang
1247,busek tulisan,hapus tulisan
1248,bukung buntut,ekor terpotong ekor
1249,byangete lare,sedang pas lagi anak
1250,campleng gawean,putus selesai pekerjaan
1251,canthuk giling,alat untuk menggiling
1252,cawis panganan,siap panganan
1253,cedak umah,dekat rumah
1254,cekakakan lare,terbahak bahak anak
1255,celathu makne,bicara marah  ibunya
1256,cendek sikile,pendek kakinya
1257,cengkir kelapa,buah kelapa yang masih sangat muda
1258,cepet mlaku,cepat jalan
1259,cerito isun,cerita saya
1260,cilik lare,kecil anak
1261,cupar atine,cemburu hatinya
1262,dadan loro,dada sakit
1263,dadi wong pinter,jadi orang pintar
1264,dalan sepi,jalan sepi
1265,dalanan sepi,jalanan sepi
1266,dekok lemah,cekung menjorok ke dalam tanah
1267,deleng kembang,lihat bunga
1268,delengen tah,lihatlah
1269,demen isun,cinta suka saya
1270,demeni isun,cintai sukai saya
1271,demenane isun,kekasihnya yang di sukai saya
1272,dhupak lawang,depak sepak terjang pintu
1273,dino iki,hari ini
1274,dinggo riko,untuk buat kamu
1275,di genengaken,di biarkan
1276,di gowo,di bawa
1277,di terak,di bawa dan terseret
1278,di ered,di seret
1279,di uwel,di marahi di larang dengan marah marah
1280,dodo loro,dada sakit
1281,dowo tali,panjang tali
1282,drajat dhuwur,derajat tinggi
1283,driji dawa,jari panjang
1284,dudu isun,bukan saya
1285,dung riko teko,kalau jika kamu datang
1286,dungo isun,doa saya
1287,dunyo iki,dunia ini
1288,duso gede,dosa besar
1289,duwe duwit,punya uang
1290,duwen isun,milik saya
1291,duweni isun,miliki saya
1292,doyong wit,condong pohon
1293,dyamar padang,lampu terang
1294,dywhos penampilane,penampilan yang kumuh
1295,edan wong iku,gila orang itu
1296,eleng isun,ingat saya
1297,eluh mili,air mata mengalir
1298,elung banyu,beri air
1299,elungno banyu,berikan air
1300,eman barang,sayang cinta kasih barang
1301,embuh arep nang endi,entah tak tau mau ke mana
1302,emong isun,tidak mau ogah saya
1303,empur umah,hancur rumah
1304,endane riko,masak  kamu
1305,edheng edheng,pelan pelan
1306,endi duwit,mana uang
1307,enjyong rasane,nikmat sekali rasanya
1308,esem manis,senyum manis
1309,ethuk sego,bungkus nasi
1310,gambare apik,gambarnya bagus
1311,gampang gawean,mudah pekerjaan
1312,ganti klambi,ganti pengganti yang lain baju
1313,garis takdir,takdir takdir-nya
1314,garu rambut,sisir rambut
1315,garuan rambut,menyisir rambut
1316,gathak wong iku,sombong orang itu
1317,gati marang wong,perhatian kepada orang
1318,gawe umah,buat membuat rumah
1319,geberejed sikil,terpeleset kaki
1320,geblug lading,tumpul pisau
1321,gebros awak,pukul pakai barang yang tidak membahayakan badan
1322,gede umah,besar rumah
1323,gedigi carane,begini caranya
1324,gegeten lare,ketakutan sekali  anak
1325,gejroh lemah,injak dengan keras tanah
1326,gelang alit,cincin
1327,gelem mangan,mau makan
1328,gelintingan,tiduran
1329,gelo atine,kecewa hatinya
1330,gemantung ring wit,menggantung di pohon
1331,gemerubyas wit,tumbang suara jatuh dengan tiba tiba pohon
1332,gending apik,lagu bagus
1333,genggem erat,genggam erat
1334,gering awak,kurus badan
1335,getih abang,darah merah
1336,getun isun,sesal menyesal saya
1337,gredoan lare,merayu gurau anak
1338,gujreh mulute,belepotan di mulut mulutnya
1339,goblog atine,bodoh hatinya
1340,gomprang swara,ribut suara
1341,gopoh mlaku,buru buru tergopoh gopoh jalan
1342,gothang duwit,hilang sedikit berkurang uang
1343,gowo barang,bawa barang
1344,grahono ulan,gerhana bulan
1345,gulakane isun,nanti malah saya
1346,gumbleng kuping,tuli sesaat memekakkan telinga telinga
1347,guno akeh,guna banyak
1348,gunane akeh,gunanya banyak
1349,gusti allah,tuhan allah
1350,guyu lare,tawa tertawa anak
1351,gyayab atine,nafsu sekali semangat hatinya
1352,hang teko,yang datang
1353,heng gelem,tidak mau
1354,heng mupakat,tidak wajar
1355,ibuka’en lare iku,perhatikan anak itu
1356,iki duwit,ini uang
1357,iklasaken atine,ikhlaskan hatinya
1358,ilang duwit,hilang uang
1359,ilangno susah,hilangkan susah
1360,iling isun,ingat saya
1361,ilir ilir,kipas kipas
1362,imuk lare,amuk anak
1363,iro arep nang endi,kamu anda kau mau ke mana
1364,iseh cilik,masih kecil
1365,isin isun,malu saya
1366,isun seneng,aku  saya senang
1367,jalaran udan,penyebab hujan
1368,jaluk duwit,minta pinta uang
1369,jangkep pitung dina,genap tujuh hari
1370,jangkepe pitung dina,genapnya tujuh hari
1371,jebeg dinggo bumbu,tempat menggiling bumbu yang terbuat dari batu
1372,jebod umah,rusak rumah
1373,jedhor bedug,bedug
1374,jemblang lawang,buka lebar lebar pintu
1375,jemblangen lawang,bukalah pintu
1376,jero umah,dalam rumah
1377,jodo isun,jodoh saya
1378,jodone isun,jodohnya saya
1379,jodog dingklik,tempat duduk pendek di tanah
1380,jogo umah,jaga rumah
1381,jorong maling,jotos maling
1382,junggrang wit,besar tinggi pohon
1383,juwut barang,ambil barang
1384,kadang teko,kadang datang
1385,kadange teko,terkadang datang
1386,kedanan wong iku,tergila gila orang itu
1387,kedani isun,sukai banget saya
1388,kadung teko,terlanjur datang
1389,kajon isun,kagum saya
1390,kakik isun,kakek saya
1391,kalah cacak menang cacak,kalah menang urusan belakang
1392,kancing lawang,kunci pintu
1393,kancingno lawang,kuncikan pintu
1394,kang isun,yang saya
1395,kang  budi,kakak laki laki budi
1396,kang ilik,kakak yang masih kecil
1397,kangen isun,rindu kangen saya
1398,kangeni isun,rindukan saya
1399,kantru kantru,teringat termenung
1400,karep isun,keinginan kemauan saya
1401,karepe isun,keinginanya kemauanya saya
1402,karepno teko,harapkan inginkan datang
1403,kariyo isun,tinggalah kini tinggal saya
1404,karipan tangi,kesiangan kurang tidur bangun
1405,katik duwit,pakai uang
1406,ketigo panas,kemarau panas
1407,katon wajahe,nampak tampak terlihat wajahnya
1408,kawitan isun teko,pertama mulai saya datang
1409,kejelowok lare,terpelosok anak
1410,kebes geni,padam matikan  api
1411,kebeselek isun,tersedak saya
1412,kecoh omongane,fasih jelas ucapannya
1413,kegandol isun,menanggung saya
1414,kekel lare,tertawa terpingkal pingkal anak
1415,kelangan duwit,kehilangan uang
1416,kelaran ati,sakit tersakiti hati
1417,kelendi carane,bagaimana caranya
1418,keli barang,terseret arus air barang
1419,keliwat akeh,terlalu berlebihan banyak
1420,keloyong loyong,tergila gila
1421,kelumus klambi,basah kuyup baju
1422,kempol sikil,paha betis kaki
1423,kene umah,sini rumah
1424,kenemenen omongane,amat sangat berlebihan ucapannya
1425,keneng musibah,kena bisa musibah
1426,kening banyu,bening air
1427,kenyes kenyes,menggairahkan
1428,kepaling atine,berpaling hatinya
1429,kepencut isun,tergoda saya
1430,kepos klambi,basah baju
1431,kepilu isun,terbuai terbawa saya
1432,kepingin duwit,ingin keinginan uang
1433,kepincut isun,tergoda saya
1434,kerahang wong iku,tamak rakus orang itu
1435,kerano udan,karena sebab hujan
1436,kerep teko,sering datang
1437,keronto ronto,sedih sekali
1438,kerungu swara,dengar mendengar suara
1439,kesapu lemah,tersapu tanah
1440,kesemek kesemek,mantap sekali
1441,kesereb lare,tertelungkup anak
1442,keseron omongane,keterlaluan ucapannya
1443,kesikso isun,tersiksa saya
1444,kesimpen duwit,tersimpan uang
1445,ketang udan,ternyata hujan
1446,ketemu isun,berjumpa bertemu saya
1447,ketimbyang mangan,dari pada makan
1448,ketutup duwit,tertutup uang
1449,kimbyang kimbyang,kebanyakan air
1450,kimples klambi,menyusut baju
1451,kiro isun,kira saya
1452,kobokan tangan,tempat cuci tangan
1453,kono umah,sana rumah
1454,koyo riko,seperti bagaikan kamu
1455,krungu swara,dengar suara
1456,krutug wong-wong,hajar beramai ramai orang-orang
1457,kudangan isun,dambaan kekasih yang di sayang saya
1458,kulo nuwun,aku saya permisi
1459,kuoso gusti,kuasa tuhan
1460,kumpleng kuping,tuli sesaat memekakkan telinga telinga
1461,kuryangen mangan,ingin lagi ketagihan makan
1462,lading landhep,pisau tajam
1463,lakoni gawean,jalani pekerjaan
1464,laku mlaku,jalan berjalan
1465,lakunya alus,jalanya berjalanya halus
1466,lamat lamat,sayup sayup
1467,lan kanca,dan teman
1468,lanang gagah,lelaki pria gagah
1469,larad mobil,bablas jalan lari kehilangan kendali dari ketinggian mobil
1470,lare cilik,anak pemuda kecil
1471,lare buru sore,anak yang belum tahu apa apa
1472,lawang mbukak,pintu membuka
1473,lawange mbukak,pintunya membuka
1474,layung ati,sedih hati
1475,lebyak medekul,tidak rata
1476,lebuh sampah,tempat sampah umum
1477,lekas rampung,usai sehabis selesai
1478,lenged kipas,berputar kencang sekali kipas
1479,lengek pikirane,bodoh sekali bodoh banget pikirannya
1480,lesuh awak,lemas letoy badan
1481,leyek leyek,tiduran
1482,lik thulik,anak laki laki
1483,lilo isun,rela pasrah saya
1484,lilakno atine,relakan pasrahkan hatinya
1485,lintang padang,bintang terang
1486,liwat isun,lewat saya
1487,liwati dalan,lewati lalui jalan
1488,liyo ati,lain hati
1489,lodhok duwit,memasukkan sesuatu ke lubang uang
1490,longan ring ngisor,di bawah tempat tidur
1491,loro  loro,dua dua
1492,loro  loro,sakit sakit
1493,lurung sepi,jalan sepi
1494,lungset klambi,kusut baju
1495,lungsuran klambi,bekas baju
1496,luput isun,salah keliru saya
1497,lutrek umah,hancur rusak rumah
1498,luwas klambi,usang lama baju
1499,madak paran paran,tidak apa apa
1500,madang isun,makan saya
1501,makne riko,biar agar supaya kamu
1502,maruh duwit,bagi membagi jadi dua uang
1503,mamut ae,hilang pergi saja
1504,man paman,paman
1505,mandaneo riko,andaikan saja seandainya kamu
1506,maneh duwit,lagi uang
1507,mandek bis,berhenti bis
1508,mang mangen,ragu ragu bimbang
1509,mangu atine,ragu hatinya
1510,mangu mangu,ragu ragu
1511,marai udan,mulai memulai penyebab hujan
1512,masio udan,walau meski walaupun meskipun hujan
1513,mbatesi omongan,membatasi omongan
1514,mbatin atine,menyimpan perasaan hatinya
1515,mbebeng maling,menghadang menghalang maling
1516,mbenu lare,bandel nakal ngeyel anak
1517,mbok isun,kakak perempuan saya
1518,mbulan padang,bulan terang
1519,mburi umah,belakang rumah
1520,mbusek tulisan,hapus tulisan
1521,mbuseke tulisan,menghapusnya menghilangkanya tulisan
1522,mekare kembang,mekarnya bunga
1523,melengon isun,menghiraukan mengindahkan saya
1524,mending tuku,lebih baik beli
1525,melayu lare,berlari anak
1526,meltik wit,bertunas pohon
1527,mengan lare,main anak
1528,memengan lare,main main mainan bermain anak
1529,mengo lambene,buka mulut bicara mulutnya
1530,menungso akeh,manusia banyak
1531,mareko kene,kesinilah mendekatlah datanglah sini
1532,melek moto,membuka mata
1533,merem moto,menutup mata terpejam
1534,mergane udan,karena sebab hujan
1535,mergo udan,karena sebab hujan
1536,mernahi ati,nyaman bikin betah hati
1537,merujuk wit,baru tumbuh bertunas pohon
1538,mesasat riko,sampai segitunya kamu
1539,mesem manis,senyum tersenyum manis
1540,mili banyu,mengalir air
1541,milu isun,ikut saya
1542,mingis lawang,buka sedikit pintu
1543,mlaku cepet,berjalan cepat
1544,mokso isun,maksa memaksa saya
1545,mong gelem,tidak mau ogah mau
1546,mongko udan,padahal hujan
1547,mongod mongod,kenyang
1548,mongso udan,musim hujan
1549,monyik lambene,senyum bibirnya
1550,moreng atine,marah murka hatinya
1551,moro isun,datang tiba saya
1552,moro moro,tiba tiba
1553,moto loro,mata sakit
1554,moto walangen,terbelalak
1555,mrekes ati,menyiksa merampas merusak hati
1556,mubyar intan,berkilauan bercahaya intan
1557,mugi mugi,semoga
1558,muko isun,tadi saya
1559,mulo isun,memang saya
1560,mung siji,hanya cuma satu
1561,mungkasi gawean,menyelesaikan mengakhiri pekerjaan
1562,mungguo riko,andai kamu
1563,mursal wong iku,liar ugal ugalan orang itu
1564,mutioro apik,mutiara bagus
1565,mutiorone apik,mutiaranya bagus
1566,myakne riko,biar agar supaya kamu
1567,nahan ati,menahan hati
1568,nangis lare,menangis anak
1569,nai isun,paling paling mungkin saya
1570,nclob iwak,di masukkan ke air ikan
1571,nalar omongan,bantah omongan
1572,nambahi duwit,menambah uang
1573,nambani lara,mengobati sakit
1574,ndedek umah,hancur rumah
1575,ngarep umah,mengharap rumah
1576,ndadekaken isun,menjadikan saya
1577,ndampingi isun,menemani saya
1578,ndiko arep ngunjuk,anda yang di hormati mau minum
1579,ndol tingkahe,menggelikan. memuakkan tingkahnya
1580,nduweni isun,memiliki saya
1581,nemen omongane,sangat omongannya
1582,netes eluh,menetes air mata
1583,ngaboti isun,memberatkan memilih saya
1584,ngadoh isun,menjauh saya
1585,ngangen isun,berharap mengharapkan saya
1586,ngangen angen,terbayang bayang angan angan
1587,ngalah isun,mengalah saya
1588,ngalor ngidul,ke utara ke selatan
1589,nganti teko,sampai hingga datang
1590,ngarungi urip,mengarungi menjalani hidup
1591,ngidul isun,ke selatan saya
1592,ngajak kanca,mengajak teman
1593,ngalor ngidul,kesana kemari
1594,ngambang banyu,mengambang air
1595,ngalangi isun,menghalangi saya
1596,ngaling ngaling,menghalang halangi
1597,nganggo klambi,pakai baju
1598,ngapusi janjine,bohongi ingkari janjinya
1599,ngaton wajahe,terbayang wajahnya
1600,ngaton ngatoni,terbayang bayang
1601,ngawiti gawean,memulai pekerjaan
1602,ngedungo isun,berdoa saya
1603,ngelali isun,melupakan saya
1604,ngelarani ati,menyakiti hati
1605,ngelayung isun,bersedih saya
1606,ngelebihi sapa,lebih dari melebihi siapa
1607,ngelilakeno ati,merelakan hati
1608,ngeliyo ati,ke lain hati menduakan hati
1609,ngeloro  loro,menduakan membagi dua dua
1610,ngeloro  ati,menyakiti hati
1611,ngempet luwe,menahan lapar
1612,ngendhek mobil,menghentikan mobil
1613,ngengetaken isun,mengingatkan saya
1614,ngenteni isun,menanti menunggu saya
1615,ngepret lare,lari ketakutan anak
1616,ngersulo wong iku,kecewa orang itu
1617,ngerti isun,tau saya
1618,ngertine isun,pengertianya saya
1619,nggagas isun,memikirkan saya
1620,ngganteni isun,menggantikan saya
1621,nggayuh impen,menggapai meraih mengambil. merasakan mimpi
1622,nggeledrek sore,jalan jalan keluar rumah sore
1623,nggeledeg tim,kalah sebelum bertanding tim
1624,nggelinting,tiduran
1625,ngidit lare,terbirit birit anak
1626,ngimpi isun,mimpi saya
1627,ngiro isun,mengira saya
1628,ngisi banyu,mengisi air
1629,nglalekeno isun,melupakan saya
1630,nglakoni urip,menjalani hidup
1631,ngloro ati,menyakiti buat sakit hati
1632,ngobong sampah,membakar sampah
1633,ngogrok lare,jongkok anak
1634,ngomong banter,bilang mengucap bicara kencang
1635,ngomongo,bicaralah
1636,ngonsrong lare,terengah engah anak
1637,ngontreng ban,berputar putar lepas kendali ban
1638,ngucap syukur,mengatakan syukur
1639,ngungkapno ati,mengungkapkan hati
1640,ngrestui isun,merestui saya
1641,nguber maling,mengejar maling
1642,nguras sumur,menguras sumur
1643,ngurungaken isun,mengundurkan menghentikan saya
1644,ninggal isun,tinggalkan meninggalkan saya
1645,ninggalaken isun,meninggalkan saya
1646,ningguli sampah,menutupi sampah
1647,njaluk duwit,minta meminta uang
1648,njepopor wajahe,rusak  wajahnya
1649,njero umah,dalam rumah
1650,nompo duwit,menerima uang
1651,nong umah,di rumah
1652,noring ati,di pada dalam hati
1653,nongko londo,buah sirsak
1654,nundung asu,mengusir anjing
1655,nuruti karep,menuruti keinginan
1656,nyakseni isun,menyaksikan saya
1657,nyali gede,nyali keberanian besar
1658,nyang pasar,pada kepada pasar
1659,nyanding isun,berdampingan memiliki saya
1660,nyatane isun,kenyataanya saya
1661,nyawang kembang,melihat bunga
1662,nyekso wong,menyiksa orang
1663,nyembah gusti,menyembah tuhan
1664,nyonggo beban,menanggung memikul beban
1665,nyoto seru,nyata sekali
1666,nyowo siji,nyawa satu
1667,nyingkrih isun,menghindar saya
1668,nyulayani janji,mengingkari janji
1669,nyunyur buah,lunak sekali buah
1670,nyuworo banter,bersuara kencang
1671,odod wit,akar pohon
1672,ojo mangan,jangan makan
1673,ojo papak,jangankan
1674,olih mangan,boleh makan
1675,omong banter,ucap kata bicara kencang
1676,omonge banter,ucapanya kencang
1677,ondo ondoan,bersenggama
1678,ongkeb awak,gerah berkeringat badan
1679,opo iki,apa ini
1680,opor-oporan,bakar bakaran
1681,ono duwit,ada uang
1682,ono paran,ada apa
1683,osing isun,tidak saya
1684,paceke teko,acap kali setiap tiap kali datang
1685,padang srengenge,terang matahari
1686,padange srengenge,terangnya matahari
1687,pakpok utang,impas hutang
1688,panggon umah,tempat rumah
1689,pangluh wit,melengkung mentiyung pohon
1690,papag isun,jemput saya
1691,papak lading,tumpul pisau
1692,paran iki,apa ini
1693,paran jare,terserah
1694,paran maning,apalagi
1695,parek umah,dekat rumah
1696,pastekno iku,pastikan itu
1697,pati teko,sering datang
1698,pawon umah,ruang dapur rumah
1699,payung dinggo,pelindung penutup untuk
1700,payunge dinggo,pelindungnya penutupnya untuk
1701,pecak sikil,bekas kaki
1702,pedhot tali,putus tali
1703,pegat isun,cerai putus saya
1704,pekso isun,paksa saya
1705,peloncok dawa,tempat duduk panjang lebar
1706,peluken isun,peluklah saya
1707,pengasihan isun,santet saya
1708,percoyo isun,percaya saya
1709,percumo duwit,percuma uang
1710,perdang perding,celingukan
1711,perkul dinggo,kampak untuk
1712,pernah isun,betah saya
1713,peteng dalan,gelap jalan
1714,petenge dalan,gelapnya jalan
1715,pethal piring,pisah pecah piring
1716,pethekel awak,kuat gagah berotot badan
1717,picis akeh,uang banyak
1718,pilihno isun,pilihkan saya
1719,pingin mangan,ingin makan
1720,pisahan isun,berpisah saya
1721,pisan ae,sekali saja
1722,pisan isun,juga saya
1723,podo rasane,sama rasanya
1724,podo podo,sama sama
1725,pokang loro,paha sakit
1726,praenan riko,wajah raut tampang muka kamu
1727,pujane isun,pujaan saya
1728,pujo isun,puja saya
1729,pungkase crita,akhirnya berakhirnya penutup cerita
1730,pungkiri janji,elakan bantah janji
1731,puteh wernane,putih warnanya
1732,ranting bambu,sangkrah bambu
1733,rasane enak,rasanya enak
1734,rasakeno dewek,rasakan merasakan sendiri
1735,reki rambut,ketombe rambut
1736,remuk ati,hancur hati
1737,remuke ati,hancurnya hati
1738,rencek barang,kecil
1739,rencem barang,rusak barang
1740,rendeng udan,penghujan hujan
1741,rogo isun,raga saya
1742,roso ati,rasa hati
1743,royak wong-wong,ramai ricuh orang-orang
1744,rumongso isun,merasa perasaan saya
1745,rumangsane isun,perasaanya saya
1746,rungokno isun,dengarkan saya
1747,sabar isun,sabar saya
1748,saben dina,setiap hari
1749,sabendino teko,setiap hari datang
1750,sabrang jalar,ubi jalar
1751,sak duwit,seuang
1752,sak majase,apa adanya
1753,sak pantaran,sebaya seumuran
1754,sak temene,sebenarnya
1755,sakat wingi,saat kemarin
